id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23163,Residence Karolina - KAROL12,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,2918,1,31,2024-06-15,0.18,70,0,1,
23169,Residence Masna - Masna302,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,,1,122,2024-11-08,0.67,70,13,6,
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,1582,3,411,2025-03-07,3.43,3,173,53,
30762,Residence Rybna - Rybna23,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,16,2023-10-30,0.09,70,33,0,
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,2736,7,333,2023-04-30,1.88,1,362,0,
52148,Ruterra 2Room Family Apartment,227945,Alex And Kate,,Praha 2,50.0709,14.43157,Entire home/apt,1678,1,276,2025-02-17,1.58,101,71,49,
55844,Renovated Klimt Studio by Ruterra next to Muzeum,227945,Alex And Kate,,Praha 2,50.07834,14.43302,Entire home/apt,1320,2,495,2025-03-09,2.82,101,51,55,
55856,Renovated Apartment behind National Museum,227945,Alex And Kate,,Praha 2,50.07724,14.43383,Entire home/apt,1435,2,415,2025-03-14,2.37,101,58,57,
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1162,2,274,2025-02-20,1.61,101,66,35,
75298,Prague  Studio  Old  Town,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,1143,3,37,2024-09-30,0.35,2,0,2,
79373,Residence Masna - Masna201,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,2183,1,53,2024-10-15,0.31,70,35,1,
79381,Residence Masna - Masna504,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2979,1,19,2024-07-06,0.11,70,35,2,
79387,Residence Masna - Masna203,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2183,1,33,2024-12-14,0.19,70,35,6,
79711,Ostrovni 7 Apartments,5282,Klara,,Praha 1,50.08051,14.41487,Entire home/apt,2277,1,20,2024-02-25,0.13,70,31,0,
83067,Old Town Apartment Charles Bridge 3,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2507,3,262,2025-02-25,1.56,14,192,42,
83855,Old Town Apartment Charles Bridge 4,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2163,3,295,2025-02-19,1.90,14,196,49,
83856,Charles Bridge Old Town Apartment 5,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,2378,3,441,2025-02-23,2.60,14,167,43,
